시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
효자비~밤골능선삼거리                                                               ,효자비,,밤골능선삼거리,1.5,25,20
효자비~북문                                                                         ,효자비,,북문,2,25,20
삼천사하단~사모바위                                                                 ,삼천사하단,응봉능선,사모바위,2.8,40,30
대호아파트뒤~족두리봉                                                               ,대호아파트 뒤,,족두리봉,1,10,8
탕춘대매표소~구기터널                                                               ,탕춘대매표소,암문-녹번동,구기터널(배수지),2.4,30,25
독박골~족두리봉밑갈림길                                                             ,독박골,,족두리봉 밑 갈림길,1.3,25,20
혜원삼거리~구기분소                                                                 ,혜원삼거리,,구기분소,1.2,25,20
6.전북학생교육원~세동치                                                             ,전북학생교육원,,세동치,1800,50,40
7.부운마을~부운치1                                                                  ,부운마을,,부운치1,3000,90,70
8.팔랑마을~팔랑치                                                                   ,팔랑마을,,팔랑치,2000,60,40
9.산덕임도~부운치2                                                                  ,산덕임도,,부운치2,600,30,20
신풍령~횡경재                                                                       ,신풍령,,횡경재,7800,240,240
탐방로(당골~유석사)                                                                 ,당골,,유석사,3.2,0,0
탐방로(희방역~희방3주차장)                                                          ,희방역,,희방3주차장,1.5,0,0
노고단고개~천왕봉(삼도봉삼거리~연하천                                               ,삼도봉삼거리,,연하천,5000,240,240
비봉매표소~대남문                                                                   ,비봉매표소,비봉능선,대남문,3.77,70,60
탐방로                                                                              ,혜원사삼거리,,구기분소,1.2,40,40
장성새재-상왕봉                                                                     ,장성새재,순창새재,상왕봉,4000,3,2
구암사입구~백양계곡                                                                 ,구암사,,백양계곡,900,40,35
송곡                                                                                ,신지대교휴게소,,명사갯길,560,30,30
두모리                                                                              ,직포,,학동,2590,90,90
우학리                                                                              ,학동,,심포,2130,60,60
심장리                                                                              ,심포,,장지,1460,60,60
120801-0301-0014                                                                    ,안국사,,남문지,0.8,40,30
탐방로                                                                              ,안국사,,남문지,0.8,40,30
탐방로                                                                              ,안국사,,남문지,0.8,40,30
안국사~남문지                                                                       ,안국사,,남문지,800,40,30
월곡~차면                                                                           ,월곡,,차면,3000,60,40
장불재~신선대억새평전                                                               ,장불재,천왕봉,신선대억새평전,3.5,0,0
너릿재~장불재                                                                       ,너릿재,수만탐방지원센터,장불재,7.3,0,0
교리제~선정암                                                                       ,교리제,교골,선정암,2.2,0,0
너릿재~장불재                                                                       ,너릿재,수만탐방지원센터,장불재,7.3,0,0
교리터널~수레바위                                                                   ,교리터널,,수레바위,2.7,0,0
오감연결길~배등골                                                                   ,오감연결길,,배등골,0.8,0,0
만연주차장~만연산갈림길                                                             ,만연주차장,,만연산갈림길,2.6,0,0
만연산고개~만연산갈림길                                                             ,만연산고개,만연산,만연산갈림길,1,0,0
수만탐방지원센터~중머리재                                                           ,수만탐방지원센터,용추폭포입구,중머리재,2,0,0
들국화갈림길~안양산갈림길                                                           ,들국화갈림길,,안양산갈림길,0.2,0,0
들국화마을~백마능선                                                                 ,들국화마을,,백마능선,1.2,0,0
안양산휴양림~장불재갈림길                                                           ,안양산휴양림,낙타봉,장불재갈림길,4.3,0,0
도원마을~장불재쉼터                                                                 ,도원마을,도원계곡,장불재쉼터,3.2,0,0
영평~석불암                                                                         ,영평,,석불암,2.4,0,0
영평~시무지기갈림길                                                                 ,영평,,시무지기갈림길,2.2,0,0
용강마을~시무지기폭포                                                               ,용강마을,입석교,시무지기폭포,1.3,0,0
무동제~신선대갈림길                                                                 ,무동제,,신선대갈림길,2.5,0,0
경상제~무동마을                                                                     ,경상제,,무동마을,0.8,0,0
유둔재~신선대억새평전                                                               ,유둔재,,신선대억새평전,6.4,0,0
사봉실~상로봉갈림길                                                                 ,사봉실,,상로봉갈림길,0.8,0,0
평내촌~사봉실                                                                       ,평내촌,,사봉실,1.4,0,0
정곡~북산                                                                           ,정곡,,북산,2.5,0,0
함충제~신선대갈림길                                                                 ,함충제,,신선대갈림길,5.6,0,0
도원야영장~마당바위                                                                 ,도원야영장,,마당바위,1.1,0,0
도원마을~영평갈림길                                                                 ,도원마을,,영평갈림길,1,0,0
독수정~새터                                                                         ,독수정,,새터,1.3,0,0
내소사 무장애탐방로                                                                 ,내소사탐방지원센터,일주문,내소사 대웅보전,1,20,20
장도 탐방로                                                                         ,장도,,안골,1,40,30
장도탐방로                                                                          ,장도,,안골,1,40,40
장도 탐방로                                                                         ,장도,,안골,1,0,0
장도탐방로                                                                          ,장도,,안골,1,0,0
장도탐방로                                                                          ,장도마을,,안골,1,30,0
장도탐방로                                                                          ,장도마을,,큰골,0.7,30,0
대원사 자연관찰로                                                                   ,대원교,,숯가마터,1000,60,60
세석 자연관찰로                                                                     ,세성평전,,촛대봉,1500,0,0
중산리 자연관찰로                                                                   ,중산리탐방안내소,,자연관찰로,1500,0,0
불일폭포 자연관찰로                                                                 ,쌍계사,,불일폭포,2500,60,60
가내소 자연관찰로                                                                   ,백무동야영장,,가내소,2700,60,60
원효교-꼬막재                                                                       ,원효교,,꼬막재,2,,
원효광장-장불재                                                                     ,원효광장,늦재갈림길,장불재,6,,
충장사-용추갈림길                                                                   ,충장사,동화사터,용추갈림길,5.5,0,0
늦재갈림길-토끼등                                                                   ,늦재갈림길,바람재,토끼등,1.9,0,0
토끼등-중머리재                                                                     ,토끼등,봉황대,중머리재,1.7,0,0
증심교-동화사터갈림길                                                               ,증심교,토끼등,동화사터갈림길,2.2,0,0
증심교-장불재                                                                       ,증심교,중머리재,장불재,4.2,0,0
의재미술관-새인봉갈림길                                                             ,의재미술관,약사사,새인봉갈림길,1.2,0,0
당산나무-봉황대                                                                     ,당산나무,천제단갈림길,봉황대,0.8,0,0
증심사-봉황대                                                                       ,증심사,,봉황대,1,0,0
증심사상가-중머리재                                                                 ,증심사상가,새인봉,중머리재,3.6,0,0
증심교-바람재                                                                       ,증심교,덕산골입구,바람재,1.7,0,0
장원봉-전망대                                                                       ,장원봉,바람재,전망대,4.9,0,0
중머리재-목교                                                                       ,중머리재,중봉,목교,1.6,0,0
제1수원지-가운데등갈림길                                                            ,제1수원지,,가운데등갈림길,0.7,0,0
북당골-큰골갈림길                                                                   ,북당골,,큰골갈림길,0.8,0,0
등촌마을-금곡마을                                                                   ,등촌마을,,금곡마을,3,0,0
잣고개-원효광장                                                                     ,잣고개,,원효광장,7.1,0,0
원효광장-서석대                                                                     ,원효광장,제철유적지,서석대,4,0,0
장원봉-풍암제                                                                       ,장원봉,,풍암제,6.8,0,0
풍암탐방지원센터-제철유적지                                                         ,풍암탐방지원센터,,제철유적지,3,0,0
수락골-샛골                                                                         ,수락골,,샛골,0.9,0,0
각화제-잣고개                                                                       ,각화제,군왕봉,잣고개,3.3,0,0
수락골기점-군왕봉                                                                   ,수락골기점,,군왕봉,1.7,0,0
지산동-충민사                                                                       ,지산동,평두메골,충민사,2,0,0
소태동-마집봉                                                                       ,소태동,자주등,마집봉,3.5,0,0
고래실골-서인봉                                                                     ,고래실골,,서인봉,3.9,0,0
제2수원지-용추폭포갈림길                                                            ,제2수원지,용추계곡,용추폭포갈림길,3.4,0,0
용연마을-곰저골                                                                     ,용연마을,,곰저골,2.2,0,0
소태제-마집봉갈림길                                                                 ,소태제,,마집봉갈림길,1,0,0
평촌마을-평촌마을갈림길                                                             ,평촌마을,,평촌마을갈림길,1.5,0,0
풍암주차장-광일목장                                                                 ,풍암주차장,,광일목장,2.1,0,0
동화사터상단-중봉                                                                   ,동화사터상단,,중봉,0.9,0,0
늦재갈림길-백운암터                                                                 ,늦재갈림길,,백운암터,2.4,0,0
제1수원지-장군봉갈림길                                                              ,제1수원지,,장군봉갈림길,1.4,0,0
동적골-새인봉갈림길                                                                 ,동적골,,새인봉갈림길,2.4,0,0
선주암갈림길-서인봉갈림길                                                           ,선주암갈림길,,서인봉갈림길,0.8,0,0
소태터널-매봉갈림길                                                                 ,소태터널,,매봉갈림길,2.3,0,0
쌍곡-탐방로(운교리~갈론계곡)                                                        ,운교리,,갈론계곡,2800,60,60
쌍곡-탐방로(상촌~옥녀봉)                                                            ,상촌,,옥녀봉,600,30,30
정도리자연관찰로                                                                    ,구계등탐방지원센터,정도리숲길,할머니당,1500,30,30
거문도자연관찰로                                                                    ,삼거리,거문도목넘어,거문도등대,1500,60,30
탐방로(반선~화개)                                                                   ,반선,,화개,0,1,1
내도선착장~연인길삼거리(내도)                                                       ,내도선착장,,연인길삼거리,900,40,30
월령대~대야산~월령대                                                                ,월령대,대야산,월령대,4800,3,3
상원 자연관찰로                                                                     ,상원사주차장,,상원사,1.9,0,0
상원 자연관찰로                                                                     ,상원사주차장,,상원사,0,0,0
남천 자연관찰로                                                                     ,오토캠핌장 끝,,풀옵션야영장 건너편,0.6,15,15
죽령 태양계 자연관찰로                                                              ,죽령휴게소,죽령탐방지원센터,연화봉,7,150,120
연화봉 자연관찰로                                                                   ,연화봉화장실,연화봉,연화봉화장실,0.6,15,15
천동 자연관찰로                                                                     ,백자골 입구,,화전민터,0.8,15,10
어의곡 자연관찰로                                                                   ,어의곡탐방지원센터,,어의곡전망대,0.6,10,10
생물종보전원 남부센터 탐방데크                                                      ,생물종보전원 본원 건물 뒷편,,생태학습장 상단,50,5,5
