시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
19.학동고개~정상~저구삼거리(거제)                                                   ,학동고개,가라산정상,저구삼거리,8800,264,175
20.뫼바위~조밭골~학동(거제)                                                         ,뫼바위,조밭골,학동,900,27,27
21.진마이재~내촐(거제)                                                              ,진마이재,,뇌촐(내촐),1300,39,25
22.가라산정상~다대저수지상부(거제)                                                  ,가라산정상,,다대저수지상부,1200,30,30
23.학동고개~구조라마을(거제)                                                        ,학동고개,,구조라마을,12000,360,240
24.양화삼거리~양화마을(거제)                                                        ,양화삼거리,,양화마을,1000,30,30
25.동부정수장~망치마을(거제)                                                        ,동부정수장,,망치마을,800,24,16
26.망양삼거리~망양마을(거제)                                                        ,망양삼거리,,망양마을,800,24,16
27.U2기지초입부~서이말등대(거제)                                                    ,U2기지초입부,,서이말등대,3800,115,75
28.예구마을~예구삼거리(거제)                                                        ,예구마을,,예구삼거리,1000,30,30
29.일운봉수대~일운망삼거리(거제)                                                    ,일운봉수대삼거리,,일운망산삼거리,1000,30,30
30.공고지초입~서이말삼거리(거제)                                                    ,공고지초입,,서이말삼거리,3000,90,60
31.바람의언덕~해금강(거제)                                                          ,바람의언덕,,해금강,1900,50,35
32.산양읍~희망봉~달아(미륵도)                                                       ,산양읍,희망봉,달아,4500,135,90
33.봉전소류지~답하~화양초교(산양)                                                   ,봉전소류지,답하,화양초교,3000,90,0
34.외항선착장~선유대~해변(비진도)                                                   ,외항선착장,선유대,외항선착장,3000,90,60
35.소매물도마을~분교(소매물도)                                                      ,소매물도마을,,분교,1600,50,30
36.연대마을~봉수대~해변(연대도)                                                     ,연대마을,봉수대,연대해변,2300,70,50
주전골입구~오색흔들바위                                                             ,주전골,,오색흔들바위,800,60,50
소고포~대촌삼거리(한산도망산)                                                       ,소고포,,대촌삼거리,1200,40,30
청련사~내기사                                                                       ,청련사,왕거암-먹구등,내기사,9500,0,0
갓바위골입구~대궐령                                                                 ,갓바위골입구,,대궐령,2000,0,0
가메봉~왕거암                                                                       ,가메봉,,왕거암,1800,0,0
오색약수터~망경대                                                                   ,오색약수터,,망경대,600,60,50
금은광이정상~먹구등                                                                 ,금은광이,두수람,먹구등,2400,0,0
제12타방로(태행산탐방로)                                                            ,대둔산,,태행산,6,0,0
곰배골입구~강선리                                                                   ,곰배골입구,곰배령,강선리,6500,200,200
대둔산입구~태행산                                                                   ,대둔산입구,,태행산,6000,0,0
단목령~곰배령                                                                       ,단목령,점봉산,곰배령,9500,240,240
둔골~월외폭포                                                                       ,둔골,도토메기,월외폭포,3500,0,0
칼등고개~가메봉                                                                     ,칼등고개,,가메봉,3200,0,0
대둔산정상~두고개                                                                   ,대둔산정상,,두고개,4500,0,0
병곡~동엽령                                                                         ,병곡,,동엽령,3.5,120,120
양악~월성재                                                                         ,양악,,월성재,4000,150,130
탐방로(연화봉~비로봉)                                                               ,연화봉,제1연화봉,비로봉,4.3,0,0
탐방로(비로봉~국망봉)                                                               ,비로봉,,국망봉,3.1,0,0
탐방로(달밭골~초암사)                                                               ,달밭골,,초암사,3.1,0,0
탐방로(점마~하좌석)                                                                 ,점마,,하좌석,4.1,0,0
탐방로                                                                              ,구룡주차장,비로봉~상원사,성남공원지킴터,21.4,540,0
탐방로(희방2주차장~의풍리)                                                          ,희방제2주차장,국망봉,의풍리,23.1,600,540
탐방로(삼가~비로봉)                                                                 ,삼가,양반바위,비로봉,5.7,120,90
탐방로(초암사~국망봉)                                                               ,초암사,봉두암,국망봉,4,180,150
탐방로(연화동~연화동삼거리)                                                         ,연화동,,연화동삼거리,3.6,0,0
탐방로(국망봉~늦은목이)                                                             ,국망봉,고치령,늦은목이,25,540,510
12.천동~천동삼거리                                                                  ,다리안관광지,천동쉼터,천동삼거리,6200,170,120
13.어의곡~어의곡삼거리                                                              ,어의곡주차장,어의곡탐방지원센터,어의곡삼거리,4200,130,90
남천                                                                                ,남천,,마당치,7700,230,170
14.죽령~연화봉                                                                      ,죽령휴게소,"제2연화봉, 천문대",연화봉,7000,180,150
16.묘적령~죽령                                                                      ,묘적령,도솔봉,죽령,8600,180,240
천황사~통천문삼거리                                                                 ,천황사,,통천문삼거리,2600,120,60
산성대입구~광암터                                                                   ,산성대입구,,광암터,2600,180,90
금릉경포대~바람재                                                                   ,금릉경포대,,바람재,2200,90,50
무위사~미왕재                                                                       ,무위사,,미왕재,2000,70,40
경포대삼거리~종주능선                                                               ,경포대삼거리,,종주능선,1500,60,30
천황주차장~탑동약수터                                                               ,천황주차장,,탑동약수터,900,20,20
천황자연관찰로                                                                      ,천황조경휴게지내,,천황조경휴게지내,1000,60,0
도갑자연관찰로                                                                      ,도선수미비,대나무숲(상전앞길)-도갑계곡(탐방로)-습지,도선수미비,1.1,30,25
무위사자연관찰로                                                                    ,무위사산진각,"폐평지,습지(억새밭가는길)-동백군락지",무위사,1,60,0
원암                                                                                ,원암,직소,남여치,7800,240,0
탐방로                                                                              ,내소사,직소,백천대,6100,220,0
탐방로                                                                              ,서운부락,와룡소,내소사,6000,180,0
탐방로                                                                              ,개암사,상여봉,가마소,8600,290,0
탐방로                                                                              ,선바우골,,관음봉,1800,60,0
탐방로                                                                              ,실상사골,,갑남산,7000,240,0
탐방로                                                                              ,갑을치,갑남산,유유동,7000,240,0
광륜사~은석암                                                                       ,광륜사,,은석암,1750,0,0
녹야원입구~다락능선                                                                 ,녹야원입구,,다락능선,1840,,
통일교~도봉대피소~다락능선                                                          ,통일교,도봉대피소,다락능선,2020,,
도봉대피소~마당바위~주봉                                                            ,도봉대피소,마당바위,주봉,1660,,
성도원상단~관음암~도봉주능선                                                        ,성도원상단,관음암,도봉주능선,1200,,
도봉서원~거북골~도봉주능선                                                          ,도봉서원,거북골,도봉주능선,2640,0,0
통일교~보문능선~우이암능선                                                          ,통일교,보문능선,우이암능선,2660,,
포대입구~도봉주능선~우이암                                                          ,포대입구,도봉주능선,우이암,2200,0,0
무수골~원통사~우이암                                                                ,무수골,원통사,우이암,2200,0,0
송추~사패능선                                                                       ,송추,,사패능선,1800,,
사패산~사패능선~포대능선                                                            ,사패산,사패능선,포대능선,3200,,
안골~사패산                                                                         ,안골,,사패산,2200,0,0
회룡골~사패능선                                                                     ,회룡골,,사패능선,3300,,
안말~체력단련장                                                                     ,안말,,체력단련장,1200,,
원도봉~체력단련장~포대능선                                                          ,원도봉,체력단련장,포대능선,2200,,
원도봉~덕재샘~포대능선                                                              ,원도봉,덕재샘,포대능선,2200,,
원도봉~다락능선~포대능선                                                            ,원도봉,다락능선,포대능선,2600,,
주등산로                                                                            ,구기터널,불광사능선,비봉,2.2,100,80
주등산로                                                                            ,산성분소,수영장,상운사,1.5,90,60
주등산로                                                                            ,용암사입구,의상능선,문수봉,3.9,75,65
주등산로                                                                            ,삼천리골입구,,문수봉,3,120,0
주등산로                                                                            ,진관사입구,,비봉,3.3,120,0
7. 유평~천왕봉                                                                      ,유평,치밭목,천왕봉,10200,390,300
5. 중산리~천왕봉                                                                    ,중산리,법계사,천왕봉,5400,240,180
6. 법계교~순두류~법계사                                                             ,법계교,순두류,법계사,5800,60,40
3. 거림~1400고지                                                                    ,거림,,1400고지,5000,180,130
10. 백무동~장터목                                                                   ,백무동,참샘,장터목,5800,210,140
11. 백무동~세석평전                                                                 ,백무동,,세석평전,6500,240,180
탐방로                                                                              ,대성,,세석평전,8.8,270,210
4. 칼바위~장터목                                                                    ,칼바위,,장터목,4000,180,120
9. 추성동~천왕봉                                                                    ,추성동,,천왕봉,9200,540,420
노고단고개~천왕봉                                                                   ,노고단고개,연하천,천왕봉,20500,330,330
15. 쌍계사~불일폭포~삼신봉                                                          ,쌍계사,불일폭포,삼신봉,9000,60,30
